user_id,book_id
124,682
207,25
116,239
320,2674
301,1381
352,457
550,682
557,6640
590,2577
590,25
590,3
656,25
212,62
756,3036
871,898
871,1533
871,239
751,9438
779,25
956,2604
956,1217
956,2347
956,3340
956,4192
956,4251
532,322
756,450
954,766
991,1381
1183,168
1276,27
533,1886
1347,457
746,62
746,368
954,9299
1437,4979
1582,282
1147,25
756,1381
1178,167
1727,682
1663,1479
1663,2631
1350,239
1649,4192
1450,25
1450,27
462,7082
1582,377
1723,9308
1835,6828
1835,6816
1835,377
1350,2691
1392,377
1885,3960
627,223
627,918
627,1137
1942,480
1926,25
1953,2
1926,682
1740,1286
318,682
318,62
1942,322
2017,1254
2334,3758
2334,1304
2334,1340
2334,1394
1357,1155
614,929
2477,368
1057,4874
1497,62
2591,6256
968,1641
968,167
1124,682
1084,457
1796,624
2593,25
2569,3960
2569,6887
2569,7817
1903,1689
2732,586
2732,6733
1903,52
1903,1944
2769,368
822,283
2844,4387
2438,62
2962,1727
2962,1342
2889,8931
2965,2
2965,27
2965,24
2965,21
2965,18
2965,23
2965,25
2962,5247
2981,9021
2438,1641
2998,6828
2955,322
2427,1925
2953,4031
3028,2
3028,23
3028,25
3028,27
3028,24
3028,18
3028,21
952,2034
2853,3036
3081,682
3029,322
3029,666
1124,1381
3107,3477
3125,3921
3125,5945
3101,191
2427,2519
571,682
1890,62
2537,4415
2438,682
2963,377
2671,3524
2811,8256
1235,6816
1235,3254
2859,682
378,7568
3027,1633
3027,1993
3158,9216
3158,9330
3218,5175
3231,52
3245,1993
2296,62
2261,168
2824,1391
3277,322
3277,283
3277,480
3277,5247
887,1641
2809,9299
926,377
3301,6816
3321,2691
3023,62
3023,368
3023,480
3023,2034
3023,4979
3384,5045
3384,25
3384,27
3384,21
428,5721
1796,5175
928,929
3126,27
3458,9382
3474,480
3474,368
3474,62
3492,682
1796,3063
2240,2
2240,18
2240,24
2240,21
2240,23
3341,929
954,5347
954,6828
2399,1155
2399,1298
2399,1554
3629,480
3458,6658
3458,7797
648,283
648,62
3636,3063
2517,322
3692,3960
3711,62
3731,457
3351,696
3717,9330
3747,929
3747,168
3747,8062
3094,62
952,929
2365,368
2931,8832
2952,3
2952,49
2952,52
3763,62
3964,2887
1600,322
2389,62
1724,3254
1724,3055
1070,2487
3458,1696
3381,1056
3964,1554
2281,368
4082,1689
446,52
446,205
446,696
446,898
954,666
3752,457
4076,929
4078,167
1713,682
3458,3176
3458,2662
618,283
3649,2545
457,27
457,23
457,21
457,24
457,18
457,2
4205,3
4221,21
634,918
634,168
1356,322
1356,612
1356,725
1356,806
1356,936
1356,953
1356,1053
4337,2
3183,1540
1579,322
2563,875
4362,191
4359,62
4159,25
4159,27
4384,7662
923,2381
923,1535
2920,1381
923,480
923,368
923,62
4399,725
923,377
923,7817
923,3960
923,6887
4486,232
4486,612
4486,725
2227,929
4502,27
954,936
954,1053
954,953
2507,322
928,62
4398,25
4567,929
3602,1727
3602,1042
3602,9216
3602,9152
4592,5347
4592,4686
4592,6816
4592,6828
4592,377
4592,682
4373,3316
4373,7116
4373,8173
3502,18
3502,24
3566,1153
3535,1709
832,682
4636,1641
4529,239
4273,2577
3775,205
4379,929
4529,1155
4529,1298
4529,1554
4229,612
4687,1042
4687,1727
3422,167
3422,4199
709,73
3027,1727
4765,7271
4252,480
4647,8373
4647,49
4647,2
4647,23
4647,18
4647,25
4647,27
4647,24
4647,21
4649,1533
4847,239
2086,1077
4947,168
4947,24
4254,666
3943,4686
1075,282
1075,2170
1075,2674
3909,25
3909,27
3909,21
4421,41
4689,9019
4689,9922
4999,239
5028,25
1822,4656
3221,322
4585,457
4585,1257
5028,27
5028,21
5127,2
5120,1764
1650,4927
5035,399
4962,929
3692,8197
4555,1533
4555,2604
4555,1633
4555,1382
4555,62
5120,5803
2168,314
5342,205
5342,239
4407,73
3443,4979
5300,41
4337,480
484,3036
1579,4687
5404,3254
3928,929
5021,9438
859,682
5120,9308
5263,1153
4076,682
5447,49
5447,52
5263,5721
2591,1391
5498,666
5498,4425
5498,9152
5498,2493
4371,682
5522,1641
4421,73
4371,457
194,9299
4146,167
3443,3883
3692,3316
3692,7116
3692,8173
3692,8241
3692,8287
5576,9691
5584,2
5598,3
4421,368
4421,62
5618,1554
5618,1298
5618,1155
4975,205
937,62
1095,62
5374,49
2990,1727
